Property,X,Y,Z,Value
Permeability,0,0,0,0.38568816
Permeability,0,0,1,0.22587474
Permeability,0,0,2,0.57359684
Permeability,0,1,0,0.37399834
Permeability,0,1,1,0.3984425
Permeability,0,1,2,0.6295111
Permeability,0,2,0,0.33120957
Permeability,0,2,1,0.43944746
Permeability,0,2,2,0.68542826
Permeability,0,3,0,0.2884237
Permeability,0,3,1,0.60069084
Permeability,0,3,2,0.66656286
Permeability,0,4,0,0.26730263
Permeability,0,4,1,0.7619371
Permeability,0,4,2,0.57291496
Permeability,0,5,0,0.2505174
Permeability,0,5,1,0.664195
Permeability,0,5,2,0.47926703
Permeability,0,6,0,0.2471569
Permeability,0,6,1,0.5146587
Permeability,0,6,2,0.49755988
Permeability,0,7,0,0.3109229
Permeability,0,7,1,0.40579647
Permeability,0,7,2,0.5382426
Permeability,0,8,0,0.37469175
Permeability,0,8,1,0.50030756
Permeability,0,8,2,0.58199805
Permeability,0,9,0,0.28398713
Permeability,0,9,1,0.5948186
Permeability,0,9,2,0.6411089
Permeability,0,10,0,0.27361217
Permeability,0,10,1,0.582352
Permeability,0,10,2,0.68527
Permeability,0,11,0,0.28338292
Permeability,0,11,1,0.46290475
Permeability,0,11,2,0.7024868
Permeability,0,12,0,0.31329942
Permeability,0,12,1,0.34345755
Permeability,0,12,2,0.7188088
Permeability,0,13,0,0.61152613
Permeability,0,13,1,0.33475998
Permeability,0,13,2,0.7306626
Permeability,0,14,0,0.625463
Permeability,0,14,1,0.34821057
Permeability,0,14,2,0.74251926
Permeability,0,15,0,0.86934924
Permeability,0,15,1,0.8926943
Permeability,0,15,2,0.36628476
Permeability,0,16,0,0.8172903
Permeability,0,16,1,0.7827618
Permeability,0,16,2,0.38568816
Permeability,0,17,0,0.25693917
Permeability,0,17,1,0.6728293
Permeability,0,17,2,0.37399834
Permeability,0,18,0,0.26018745
Permeability,0,18,1,0.6105824
Permeability,0,18,2,0.33120957
Permeability,0,19,0,0.21544799
Permeability,0,19,1,0.5960184
Permeability,0,19,2,0.13075112
Permeability,0,20,0,0.21864736
Permeability,0,20,1,0.5814543
Permeability,0,20,2,0.13075371
Permeability,0,21,0,0.46504247
Permeability,0,21,1,0.59714335
Permeability,0,21,2,0.48187083
Permeability,0,22,0,0.435805
Permeability,0,22,1,0.6188801
Permeability,0,22,2,0.3494046
Permeability,0,23,0,0.5555687
Permeability,0,23,1,0.6418281
Permeability,0,23,2,0.33464774
Permeability,0,24,0,0.52587664
Permeability,0,24,1,0.6708383
Permeability,0,24,2,0.3434374
Permeability,0,25,0,0.9416833
Permeability,0,25,1,0.5832928
Permeability,0,25,2,0.35151353
Permeability,0,26,0,0.84582
Permeability,0,26,1,0.63180417
Permeability,0,26,2,0.35603064
Permeability,0,27,0,0.70322335
Permeability,0,27,1,0.6445873
Permeability,0,27,2,0.36054775
Permeability,0,28,0,0.606494
Permeability,0,28,1,0.6502265
Permeability,0,28,2,0.41077104
Permeability,0,29,0,0.73910415
Permeability,0,29,1,0.6535697
Permeability,0,29,2,0.5067063
