[0;34m[INFO][0m Activating environment...
[0;34m[INFO][0m Running FNO Baseline...
2026-02-20 20:50:12.111304: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
/home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/.venv/lib/python3.13/site-packages/hydra/_internal/hydra.py:119: UserWarning: Future Hydra versions will no longer change working directory at job runtime by default.
See https://hydra.cc/docs/1.2/upgrades/1.1_to_1.2/changes_to_job_working_dir/ for more information.
  ret = run_job(
[W220 20:50:17.428105189 init.cpp:767] Warning: nvfuser is no longer supported in torch script, use _jit_set_nvfuser_enabled is deprecated and a no-op (function operator())
[20:50:17] - JitManager: {'_enabled': False, '_arch_mode': <JitArchMode.ONLY_ACTIVATION: 1>, '_use_nvfuser': True, '_autograd_nodes': False}
[20:50:17] - GraphManager: {'_func_arch': False, '_debug': False, '_func_arch_allow_partial_hessian': True}
[20:50:17] - AmpManager: {'_enabled': False, '_mode': <AmpMode.PER_ORDER_SCALER: 0>, '_dtype': torch.float16, '_default_max_scale': 1, '_autocast_activation': False, '_autocast_firstlayer': False, '_special_terms': [], '_custom_max_scales': {}}
/home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/physicsnemo-sym/physicsnemo/sym/amp.py:219: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  super().__init__(*args, **kwargs)

|-----------------------------------------------------------------|
|          TRAIN THE MODEL USING A 3D FNO APPROACH (V7 GEO)       |
|-----------------------------------------------------------------|

[1/3] Checking Data Integrity...
   -> Using existing /home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/physicsnemo-sym/examples/reservoir_simulation/geothermal/geothermal_V1/src/../PACKETS/Training4.hdf5
   -> Using existing /home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/physicsnemo-sym/examples/reservoir_simulation/geothermal/geothermal_V1/src/../PACKETS/Test4.hdf5

[2/3] Configuring Keys & Normalization...

[3/3] Loading Datasets...
loaded: /home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/physicsnemo-sym/examples/reservoir_simulation/geothermal/geothermal_V1/src/../PACKETS/Training4.hdf5
avaliable keys: ['Phi', 'Pini', 'Q', 'Qw', 'Time', 'Tini', 'perm', 'pressure', 'temperature']
selected key: perm, mean: 6.77366e+02, std: 7.24157e+02
selected key: Q, mean: 3.87430e-10, std: 2.02157e+01
selected key: Qw, mean: 1.78019e-01, std: 7.37335e+00
selected key: Phi, mean: 1.94944e-01, std: 6.30312e-02
selected key: Time, mean: 5.00000e-01, std: 2.97842e-01
selected key: Pini, mean: 2.49551e+02, std: 7.32404e+00
selected key: Tini, mean: 3.72874e+02, std: 1.07197e+01
selected key: pressure, mean: 1.55661e+02, std: 2.65010e+01
selected key: temperature, mean: 3.49412e+02, std: 3.04702e+01
loaded: /home/roderickperez/DataScienceProjects/NVIDIA_physicsNemo_Sym/physicsnemo-sym/examples/reservoir_simulation/geothermal/geothermal_V1/src/../PACKETS/Test4.hdf5
avaliable keys: ['Phi', 'Pini', 'Q', 'Qw', 'Time', 'Tini', 'perm', 'pressure', 'temperature']
selected key: perm, mean: 7.08814e+02, std: 7.44183e+02
selected key: Q, mean: -2.38419e-10, std: 2.05901e+01
selected key: Qw, mean: 1.75015e-01, std: 7.30086e+00
selected key: Phi, mean: 1.98123e-01, std: 6.48860e-02
selected key: Time, mean: 5.00000e-01, std: 2.97842e-01
selected key: Pini, mean: 2.50026e+02, std: 6.76080e+00
selected key: Tini, mean: 3.72647e+02, std: 1.08107e+01
selected key: pressure, mean: 1.53567e+02, std: 2.81408e+01
selected key: temperature, mean: 3.49012e+02, std: 3.06824e+01
[20:50:20] - attempting to restore from: outputs/Forward_problem_FNO/ResSim
[20:50:20] - optimizer checkpoint not found
[20:50:20] - model fno_forward_model_pressure.0.pth not found
[20:50:20] - model fno_forward_model_temperature.0.pth not found
[20:50:22] - [step:          0] record constraint batch time:  4.081e-01s
[20:50:25] - [step:          0] record validators time:  3.516e+00s
[20:50:26] - [step:          0] saved checkpoint to outputs/Forward_problem_FNO/ResSim
[20:50:26] - [step:          0] loss:  2.048e+07
[20:51:30] - [step:        100] loss:  2.198e+06, time/iteration:  6.382e+02 ms
[20:52:33] - [step:        200] loss:  2.249e+06, time/iteration:  6.348e+02 ms
[20:53:37] - [step:        300] loss:  2.773e+06, time/iteration:  6.348e+02 ms
[20:54:40] - [step:        400] loss:  2.541e+06, time/iteration:  6.340e+02 ms
[20:55:41] - [step:        500] loss:  2.467e+06, time/iteration:  6.035e+02 ms
[20:56:06] - [step:        600] loss:  2.415e+06, time/iteration:  2.507e+02 ms
[20:56:31] - [step:        700] loss:  1.941e+06, time/iteration:  2.504e+02 ms
[20:56:56] - [step:        800] loss:  2.272e+06, time/iteration:  2.498e+02 ms
[20:57:21] - [step:        900] loss:  2.424e+06, time/iteration:  2.498e+02 ms
[20:57:46] - [step:       1000] saved checkpoint to outputs/Forward_problem_FNO/ResSim
[20:57:46] - [step:       1000] loss:  2.335e+06, time/iteration:  2.591e+02 ms
[20:58:12] - [step:       1100] loss:  2.476e+06, time/iteration:  2.505e+02 ms
[20:58:37] - [step:       1200] loss:  1.828e+06, time/iteration:  2.504e+02 ms
[20:59:02] - [step:       1300] loss:  2.021e+06, time/iteration:  2.505e+02 ms
[20:59:27] - [step:       1400] loss:  2.171e+06, time/iteration:  2.505e+02 ms
[20:59:52] - [step:       1500] loss:  1.925e+06, time/iteration:  2.506e+02 ms
[21:00:17] - [step:       1600] loss:  2.255e+06, time/iteration:  2.507e+02 ms
[21:00:42] - [step:       1700] loss:  2.582e+06, time/iteration:  2.535e+02 ms
[21:01:07] - [step:       1800] loss:  2.196e+06, time/iteration:  2.520e+02 ms
[21:01:32] - [step:       1900] loss:  1.718e+06, time/iteration:  2.514e+02 ms
[21:01:59] - [step:       2000] saved checkpoint to outputs/Forward_problem_FNO/ResSim
[21:01:59] - [step:       2000] loss:  1.998e+06, time/iteration:  2.610e+02 ms
[21:02:24] - [step:       2100] loss:  2.549e+06, time/iteration:  2.494e+02 ms
[21:02:49] - [step:       2200] loss:  1.968e+06, time/iteration:  2.512e+02 ms
[21:03:14] - [step:       2300] loss:  2.100e+06, time/iteration:  2.492e+02 ms
[21:03:38] - [step:       2400] loss:  2.275e+06, time/iteration:  2.484e+02 ms
[21:04:04] - [step:       2500] loss:  2.178e+06, time/iteration:  2.525e+02 ms
[21:04:28] - [step:       2600] loss:  2.199e+06, time/iteration:  2.474e+02 ms
[21:04:54] - [step:       2700] loss:  2.190e+06, time/iteration:  2.536e+02 ms
[21:05:19] - [step:       2800] loss:  2.431e+06, time/iteration:  2.519e+02 ms
[21:05:44] - [step:       2900] loss:  2.080e+06, time/iteration:  2.514e+02 ms
[21:06:10] - [step:       3000] saved checkpoint to outputs/Forward_problem_FNO/ResSim
[21:06:10] - [step:       3000] loss:  2.007e+06, time/iteration:  2.616e+02 ms
[21:06:35] - [step:       3100] loss:  2.527e+06, time/iteration:  2.511e+02 ms
[21:07:00] - [step:       3200] loss:  2.132e+06, time/iteration:  2.512e+02 ms
[21:07:26] - [step:       3300] loss:  2.198e+06, time/iteration:  2.532e+02 ms
[21:07:51] - [step:       3400] loss:  2.200e+06, time/iteration:  2.526e+02 ms
[21:08:17] - [step:       3500] loss:  2.127e+06, time/iteration:  2.554e+02 ms
[21:08:42] - [step:       3600] loss:  1.857e+06, time/iteration:  2.554e+02 ms
[21:09:07] - [step:       3700] loss:  2.272e+06, time/iteration:  2.537e+02 ms
[21:09:33] - [step:       3800] loss:  1.919e+06, time/iteration:  2.521e+02 ms
[21:09:58] - [step:       3900] loss:  1.861e+06, time/iteration:  2.530e+02 ms
[21:10:24] - [step:       4000] saved checkpoint to outputs/Forward_problem_FNO/ResSim
[21:10:24] - [step:       4000] loss:  1.947e+06, time/iteration:  2.638e+02 ms
[21:10:50] - [step:       4100] loss:  2.317e+06, time/iteration:  2.525e+02 ms
[21:11:15] - [step:       4200] loss:  2.279e+06, time/iteration:  2.550e+02 ms
[21:11:41] - [step:       4300] loss:  2.045e+06, time/iteration:  2.539e+02 ms
[21:12:06] - [step:       4400] loss:  2.093e+06, time/iteration:  2.514e+02 ms
[21:12:31] - [step:       4500] loss:  2.019e+06, time/iteration:  2.511e+02 ms
[21:12:55] - [step:       4600] loss:  2.308e+06, time/iteration:  2.461e+02 ms
[21:13:20] - [step:       4700] loss:  2.207e+06, time/iteration:  2.460e+02 ms
